V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	3.11888e-05	0.76394	0.00130631	1096.112
30.0	2.48391e-05	0.756198	0.00107499	1096.132
30.0	1.98375e-05	0.748549	0.000884629	1096.12
30.0	1.61491e-05	0.740942	0.00072798	1096.117
30.0	1.31398e-05	0.733392	0.00059907	1096.124
30.0	1.09403e-05	0.725892	0.000492988	1096.144
30.0	9.16181e-06	0.718445	0.00040569	1096.111
30.0	7.90342e-06	0.711059	0.000333851	1096.14
30.0	6.86458e-06	0.703747	0.000274733	1096.119
30.0	6.20453e-06	0.696514	0.000226083	1096.159
30.0	5.54754e-06	0.689362	0.000186049	1096.14
30.0	5.15953e-06	0.682318	0.000153104	1096.143
30.0	4.80602e-06	0.67538	0.000125992	1096.128
30.0	4.54922e-06	0.668557	0.000103682	1096.143
30.0	4.34612e-06	0.661856	8.53217e-05	1096.123
30.0	4.21559e-06	0.65528	7.02131e-05	1096.146
30.0	4.10415e-06	0.648829	5.77798e-05	1096.142
30.0	3.98692e-06	0.642494	4.75482e-05	1096.118
30.0	3.94083e-06	0.636289	3.91284e-05	1096.145
30.0	3.87243e-06	0.630196	3.21996e-05	1096.135
30.0	3.84623e-06	0.624215	2.64977e-05	1096.146
30.0	3.82391e-06	0.618336	2.18056e-05	1096.13
30.0	3.81135e-06	0.612555	1.79443e-05	1096.134
30.0	3.76436e-06	0.606863	1.47667e-05	1096.134
30.0	3.7725e-06	0.601259	1.21518e-05	1096.143
30.0	3.69911e-06	0.595714	1e-05	1096.127
30.0	3.74212e-06	0.595714	1e-05	1096.137
30.0	3.76703e-06	0.601277	1.21518e-05	1096.141
30.0	3.73112e-06	0.606891	1.47667e-05	1096.156
30.0	3.82092e-06	0.612588	1.79443e-05	1096.127
30.0	3.82126e-06	0.618384	2.18056e-05	1096.127
30.0	3.85617e-06	0.624268	2.64977e-05	1096.147
30.0	3.90378e-06	0.630259	3.21996e-05	1096.161
30.0	3.91657e-06	0.636362	3.91284e-05	1096.153
30.0	3.9689e-06	0.642578	4.75482e-05	1096.148
30.0	4.08409e-06	0.648925	5.77798e-05	1096.149
30.0	4.19211e-06	0.655386	7.02131e-05	1096.14
30.0	4.35526e-06	0.661975	8.53217e-05	1096.15
30.0	4.56434e-06	0.668688	0.000103682	1096.158
30.0	4.8034e-06	0.675521	0.000125992	1096.151
30.0	5.10594e-06	0.68247	0.000153104	1096.162
30.0	5.53334e-06	0.689529	0.000186049	1096.149
30.0	6.15025e-06	0.69669	0.000226083	1096.145
30.0	6.89065e-06	0.703939	0.000274733	1096.169
30.0	7.87982e-06	0.711268	0.000333851	1096.149
30.0	9.1263e-06	0.718668	0.00040569	1096.146
30.0	1.09246e-05	0.72613	0.000492988	1096.187
30.0	1.31373e-05	0.733651	0.00059907	1096.167
30.0	1.60274e-05	0.741221	0.00072798	1096.161
30.0	1.97943e-05	0.748847	0.000884629	1096.161
30.0	2.48008e-05	0.756525	0.00107499	1096.147
30.0	3.10624e-05	0.764293	0.00130631	1096.15
30.0	3.92744e-05	0.772152	0.0015874	1096.149
30.0	4.96411e-05	0.780135	0.00192898	1096.163
30.0	6.2724e-05	0.788287	0.00234407	1096.166
