N	R	I
619	1080.44	9.7e-05
620	1080.42	9.7e-05
621	1080.44	9.7e-05
622	1080.42	9.7e-05
623	1080.42	9.7e-05
624	1080.41	9.7e-05
625	1080.41	9.7e-05
626	1080.41	9.7e-05
627	1080.41	9.7e-05
628	1080.41	9.7e-05
629	1080.42	9.7e-05
630	1080.43	9.7e-05
631	1080.44	9.7e-05
632	1080.43	9.7e-05
633	1080.44	9.7e-05
634	1080.43	9.7e-05
635	1080.45	9.7e-05
636	1080.41	9.7e-05
637	1080.45	9.7e-05
638	1080.42	9.7e-05
639	1080.44	9.7e-05
640	1080.44	9.7e-05
641	1080.41	9.7e-05
642	1080.44	9.7e-05
643	1080.45	9.7e-05
644	1080.44	9.7e-05
645	1080.41	9.7e-05
646	1080.42	9.7e-05
647	1080.4	9.7e-05
648	1080.4	9.7e-05
649	1080.41	9.7e-05
650	1080.42	9.7e-05
651	1080.42	9.7e-05
652	1080.43	9.7e-05
653	1080.4	9.7e-05
654	1080.42	9.7e-05
655	1080.42	9.7e-05
656	1080.42	9.7e-05
657	1080.41	9.7e-05
658	1080.42	9.7e-05
659	1080.4	9.7e-05
660	1080.41	9.7e-05
661	1080.4	9.7e-05
662	1080.39	9.7e-05
663	1080.4	9.7e-05
664	1080.41	9.7e-05
665	1080.4	9.7e-05
666	1080.42	9.7e-05
667	1080.41	9.7e-05
668	1080.42	9.7e-05
669	1080.42	9.7e-05
670	1080.41	9.7e-05
671	1080.42	9.7e-05
672	1080.43	9.7e-05
673	1080.41	9.7e-05
674	1080.41	9.7e-05
675	1080.43	9.7e-05
676	1080.42	9.7e-05
677	1080.42	9.7e-05
678	1080.42	9.7e-05
679	1080.4	9.7e-05
680	1080.42	9.7e-05
681	1080.43	9.7e-05
682	1080.43	9.7e-05
683	1080.43	9.7e-05
684	1080.44	9.7e-05
685	1080.42	9.7e-05
686	1080.44	9.7e-05
687	1080.45	9.7e-05
688	1080.47	9.7e-05
689	1080.47	9.7e-05
690	1080.45	9.7e-05
691	1080.47	9.7e-05
692	1080.44	9.7e-05
693	1080.46	9.7e-05
694	1080.43	9.7e-05
695	1080.43	9.7e-05
696	1080.43	9.7e-05
697	1080.43	9.7e-05
698	1080.43	9.7e-05
699	1080.42	9.7e-05
700	1080.44	9.7e-05
701	1080.43	9.7e-05
702	1080.42	9.7e-05
703	1080.42	9.7e-05
704	1080.42	9.7e-05
705	1080.4	9.7e-05
706	1080.42	9.7e-05
707	1080.41	9.7e-05
708	1080.39	9.7e-05
709	1080.39	9.7e-05
710	1080.38	9.7e-05
711	1080.4	9.7e-05
712	1080.39	9.7e-05
713	1080.4	9.7e-05
714	1080.37	9.7e-05
715	1080.38	9.7e-05
716	1080.4	9.7e-05
717	1080.4	9.7e-05
718	1080.42	9.7e-05
719	1080.41	9.7e-05
720	1080.41	9.7e-05
721	1080.44	9.7e-05
722	1080.43	9.7e-05
723	1080.41	9.7e-05
724	1080.41	9.7e-05
725	1080.4	9.7e-05
726	1080.42	9.7e-05
727	1080.39	9.7e-05
728	1080.4	9.7e-05
729	1080.42	9.7e-05
730	1080.43	9.7e-05
731	1080.45	9.7e-05
732	1080.42	9.7e-05
733	1080.43	9.7e-05
734	1080.42	9.7e-05
735	1080.42	9.7e-05
736	1080.43	9.7e-05
737	1080.44	9.7e-05
738	1080.45	9.7e-05
739	1080.45	9.7e-05
740	1080.44	9.7e-05
741	1080.44	9.7e-05
742	1080.43	9.7e-05
743	1080.43	9.7e-05
744	1080.44	9.7e-05
745	1080.45	9.7e-05
746	1080.43	9.7e-05
747	1080.44	9.7e-05
748	1080.43	9.7e-05
749	1080.42	9.7e-05
750	1080.42	9.7e-05
751	1080.44	9.7e-05
752	1080.43	9.7e-05
753	1080.45	9.7e-05
754	1080.45	9.7e-05
755	1080.44	9.7e-05
756	1080.43	9.7e-05
757	1080.44	9.7e-05
758	1080.44	9.7e-05
759	1080.43	9.7e-05
760	1080.44	9.7e-05
761	1080.42	9.7e-05
762	1080.45	9.7e-05
763	1080.45	9.7e-05
764	1080.43	9.7e-05
765	1080.46	9.7e-05
766	1080.44	9.7e-05
767	1080.47	9.7e-05
768	1080.41	9.7e-05
769	1080.44	9.7e-05
770	1080.43	9.7e-05
771	1080.42	9.7e-05
772	1080.43	9.7e-05
773	1080.42	9.7e-05
774	1080.42	9.7e-05
775	1080.43	9.7e-05
776	1080.44	9.7e-05
777	1080.44	9.7e-05
778	1080.42	9.7e-05
779	1080.43	9.7e-05
780	1080.4	9.7e-05
781	1080.4	9.7e-05
782	1080.42	9.7e-05
783	1080.43	9.7e-05
784	1080.43	9.7e-05
785	1080.44	9.7e-05
786	1080.48	9.7e-05
787	1080.43	9.7e-05
788	1080.43	9.7e-05
789	1080.43	9.7e-05
790	1080.46	9.7e-05
791	1080.43	9.7e-05
792	1080.42	9.7e-05
793	1080.4	9.7e-05
794	1080.42	9.7e-05
795	1080.45	9.7e-05
796	1080.44	9.7e-05
797	1080.45	9.7e-05
798	1080.43	9.7e-05
799	1080.44	9.7e-05
800	1080.44	9.7e-05
801	1080.48	9.7e-05
802	1080.43	9.7e-05
803	1080.43	9.7e-05
804	1080.45	9.7e-05
805	1080.45	9.7e-05
806	1080.42	9.7e-05
807	1080.43	9.7e-05
808	1080.46	9.7e-05
809	1080.45	9.7e-05
810	1080.46	9.7e-05
811	1080.44	9.7e-05
812	1080.43	9.7e-05
813	1080.43	9.7e-05
814	1080.42	9.7e-05
815	1080.44	9.7e-05
816	1080.41	9.7e-05
817	1080.44	9.7e-05
818	1080.44	9.7e-05
819	1080.43	9.7e-05
820	1080.4	9.7e-05
821	1080.41	9.7e-05
822	1080.43	9.7e-05
823	1080.43	9.7e-05
824	1080.44	9.7e-05
825	1080.42	9.7e-05
826	1080.42	9.7e-05
827	1080.42	9.7e-05
828	1080.41	9.7e-05
829	1080.44	9.7e-05
830	1080.42	9.7e-05
831	1080.44	9.7e-05
832	1080.45	9.7e-05
833	1080.44	9.7e-05
834	1080.45	9.7e-05
835	1080.43	9.7e-05
836	1080.43	9.7e-05
837	1080.42	9.7e-05
838	1080.45	9.7e-05
839	1080.42	9.7e-05
840	1080.43	9.7e-05
841	1080.42	9.7e-05
842	1080.43	9.7e-05
843	1080.42	9.7e-05
844	1080.42	9.7e-05
845	1080.43	9.7e-05
846	1080.4	9.7e-05
847	1080.43	9.7e-05
848	1080.42	9.7e-05
849	1080.41	9.7e-05
850	1080.44	9.7e-05
851	1080.43	9.7e-05
852	1080.43	9.7e-05
853	1080.42	9.7e-05
854	1080.43	9.7e-05
855	1080.44	9.7e-05
856	1080.42	9.7e-05
857	1080.43	9.7e-05
858	1080.43	9.7e-05
859	1080.43	9.7e-05
860	1080.42	9.7e-05
861	1080.44	9.7e-05
862	1080.45	9.7e-05
863	1080.42	9.7e-05
864	1080.42	9.7e-05
865	1080.44	9.7e-05
866	1080.41	9.7e-05
867	1080.43	9.7e-05
868	1080.45	9.7e-05
869	1080.41	9.7e-05
870	1080.42	9.7e-05
871	1080.43	9.7e-05
872	1080.43	9.7e-05
873	1080.43	9.7e-05
874	1080.43	9.7e-05
875	1080.46	9.7e-05
876	1080.42	9.7e-05
877	1080.45	9.7e-05
878	1080.44	9.7e-05
879	1080.45	9.7e-05
880	1080.44	9.7e-05
881	1080.44	9.7e-05
882	1080.45	9.7e-05
883	1080.42	9.7e-05
884	1080.43	9.7e-05
885	1080.42	9.7e-05
886	1080.42	9.7e-05
887	1080.42	9.7e-05
888	1080.42	9.7e-05
889	1080.42	9.7e-05
890	1080.44	9.7e-05
891	1080.43	9.7e-05
892	1080.43	9.7e-05
893	1080.45	9.7e-05
894	1080.41	9.7e-05
895	1080.44	9.7e-05
896	1080.44	9.7e-05
897	1080.4	9.7e-05
898	1080.43	9.7e-05
899	1080.41	9.7e-05
900	1080.41	9.7e-05
901	1080.41	9.7e-05
902	1080.41	9.7e-05
903	1080.42	9.7e-05
904	1080.43	9.7e-05
905	1080.44	9.7e-05
906	1080.4	9.7e-05
907	1080.41	9.7e-05
908	1080.41	9.7e-05
909	1080.44	9.7e-05
910	1080.43	9.7e-05
911	1080.42	9.7e-05
912	1080.43	9.7e-05
913	1080.45	9.7e-05
914	1080.42	9.7e-05
915	1080.45	9.7e-05
916	1080.45	9.7e-05
917	1080.43	9.7e-05
918	1080.43	9.7e-05
919	1080.42	9.7e-05
920	1080.44	9.7e-05
921	1080.45	9.7e-05
922	1080.44	9.7e-05
923	1080.42	9.7e-05
924	1080.42	9.7e-05
925	1080.42	9.7e-05
926	1080.43	9.7e-05
927	1080.43	9.7e-05
928	1080.44	9.7e-05
929	1080.42	9.7e-05
930	1080.44	9.7e-05
931	1080.45	9.7e-05
932	1080.45	9.7e-05
933	1080.45	9.7e-05
934	1080.44	9.7e-05
935	1080.44	9.7e-05
936	1080.43	9.7e-05
937	1080.45	9.7e-05
938	1080.42	9.7e-05
939	1080.43	9.7e-05
940	1080.42	9.7e-05
941	1080.41	9.7e-05
942	1080.41	9.7e-05
943	1080.44	9.7e-05
944	1080.43	9.7e-05
945	1080.44	9.7e-05
946	1080.41	9.7e-05
947	1080.44	9.7e-05
948	1080.43	9.7e-05
949	1080.42	9.7e-05
950	1080.43	9.7e-05
951	1080.44	9.7e-05
952	1080.41	9.7e-05
953	1080.43	9.7e-05
954	1080.43	9.7e-05
955	1080.42	9.7e-05
956	1080.45	9.7e-05
957	1080.45	9.7e-05
958	1080.44	9.7e-05
959	1080.44	9.7e-05
960	1080.44	9.7e-05
961	1080.44	9.7e-05
962	1080.45	9.7e-05
963	1080.42	9.7e-05
964	1080.46	9.7e-05
965	1080.43	9.7e-05
966	1080.44	9.7e-05
967	1080.43	9.7e-05
968	1080.42	9.7e-05
969	1080.44	9.7e-05
970	1080.44	9.7e-05
971	1080.44	9.7e-05
972	1080.44	9.7e-05
973	1080.44	9.7e-05
974	1080.46	9.7e-05
975	1080.45	9.7e-05
976	1080.46	9.7e-05
977	1080.44	9.7e-05
978	1080.43	9.7e-05
979	1080.42	9.7e-05
980	1080.45	9.7e-05
981	1080.45	9.7e-05
982	1080.43	9.7e-05
983	1080.43	9.7e-05
984	1080.43	9.7e-05
985	1080.45	9.7e-05
986	1080.45	9.7e-05
987	1080.41	9.7e-05
988	1080.45	9.7e-05
989	1080.44	9.7e-05
990	1080.43	9.7e-05
991	1080.43	9.7e-05
992	1080.44	9.7e-05
993	1080.44	9.7e-05
994	1080.45	9.7e-05
995	1080.42	9.7e-05
996	1080.42	9.7e-05
997	1080.45	9.7e-05
