V_sipm	I_sipm	V_led	I_led	R_rtd
30.0	9.12576e-06	0.718665	0.00040569	1095.624
30.0	7.82781e-06	0.711284	0.000333851	1095.632
30.0	6.85812e-06	0.703975	0.000274733	1095.639
30.0	6.10819e-06	0.696745	0.000226083	1095.627
30.0	5.55687e-06	0.6896	0.000186049	1095.643
30.0	5.11713e-06	0.68256	0.000153104	1095.632
30.0	4.77341e-06	0.675626	0.000125992	1095.62
30.0	4.53605e-06	0.668809	0.000103682	1095.627
30.0	4.3404e-06	0.662112	8.53217e-05	1095.623
30.0	4.17422e-06	0.65554	7.02131e-05	1095.625
30.0	4.06745e-06	0.649091	5.77798e-05	1095.638
30.0	3.94693e-06	0.642768	4.75482e-05	1095.622
30.0	3.91394e-06	0.636562	3.91284e-05	1095.64
30.0	3.87395e-06	0.630471	3.21996e-05	1095.638
30.0	3.81409e-06	0.624497	2.64977e-05	1095.627
30.0	3.78179e-06	0.61862	2.18056e-05	1095.625
30.0	3.74462e-06	0.612844	1.79443e-05	1095.622
30.0	3.77498e-06	0.60716	1.47667e-05	1095.615
30.0	3.71979e-06	0.601561	1.21518e-05	1095.621
30.0	3.70892e-06	0.596009	1e-05	1095.616
